Age,Male,Female
Under 5 years,22544,22336
5 to 9 years,19758,18249
10 to 14 years,17648,18382
15 to 17 years,10806,10816
18 and 19 years,8274,8767
20 years,3653,5620
21 years,4775,4256
22 to 24 years,16024,18174
25 to 29 years,34536,37783
30 to 34 years,35400,36474
35 to 39 years,31279,26467
40 to 44 years,20560,24564
45 to 49 years,19834,19343
50 to 54 years,19318,20272
55 to 59 years,18186,19376
60 and 61 years,8543,7604
62 to 64 years,10058,13980
65 and 66 years,5939,8047
67 to 69 years,8192,10212
70 to 74 years,12622,13702
75 to 79 years,7652,10008
80 to 84 years,2998,5776
85 years and over,3195,6142
