index,Pay Grade / Step,Annual Salary,Class,Title,Current Department,Employment Status,EEO Job Category Description,Gender,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt?,County,Current_Year,Age,Age_Group,Started_Year,Year_Of_Service
1,OR04,72688.6,7753,Professional Spec,Police,Fulltime,Professionals,F,White,1952,1972-08-18,Y,Davidson,2024,72,70-74,1972,52
2,OR07,113468.17,7242,Admin Svcs Mgr,Water Services,Fulltime,Officials and administrators,M,Black,1950,1973-02-26,Y,Davidson,2024,74,70-74,1973,51
3,OR09,121002.72,10863,Admin Svcs Division Manager,Metropolitan Council,Fulltime,Officials and administrators,F,White,1956,1974-09-01,Y,Davidson,2024,68,65-69,1974,50
5,NS,83001.18,6505,Deputy Criminal Ct Clerk 4,Criminal Court Clerk,Fulltime,Administrative support,F,White,1950,1975-12-05,N,Davidson,2024,74,70-74,1975,49
6,ST08,52433.92,11183,Library Associate,Public Library,Fulltime,Paraprofessionals,F,White,1952,1977-02-14,N,Davidson,2024,72,70-74,1977,47
7,OR05,87656.13,5495,Probation Officer 3,General Sessions Court,Fulltime,Professionals,F,Black,1953,1977-03-01,Y,Davidson,2024,71,70-74,1977,47
9,OR07,97654.57,7242,Admin Svcs Mgr,Juvenile Court,Fulltime,Officials and administrators,F,Black,1959,1977-10-16,Y,Davidson,2024,65,65-69,1977,47
10,TG09,47459.75,10849,Maintenance & Repair Worker Se,Parks,Fulltime,Service/Maintenance,M,White,1954,1978-03-24,N,Davidson,2024,70,70-74,1978,46
11,OR05,81582.85,7245,Admin Svcs Officer 4,Assessor of Property,Fulltime,Professionals,M,Black,1955,1978-06-01,N,Davidson,2024,69,65-69,1978,46
12,ST10,72445.0,10836,Engineer Technician Senior,Water Services,Fulltime,Technicians,M,White,1957,1978-10-01,N,Davidson,2024,67,65-69,1978,46
13,OR07,113468.17,11272,Transportation Superintendent,NDOT,Fulltime,Officials and administrators,M,White,1960,1978-10-16,Y,Davidson,2024,64,60-64,1978,46
