Pay Grade / Step,Annual Salary,Class,Title,Current Department,Employment Status,EEO Job Category Description,Gender,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt?,County,Current_Year,Age,Age_Group,Started_Year,Year_Of_Service
OR06,43390.46,7757,Technical Specialist 2,Police,Parttime,Professionals,M,White,1950,1972-07-16,Y,Davidson,2024,74,70-74,1972,52
OR04,72688.6,7753,Professional Spec,Police,Fulltime,Professionals,F,White,1952,1972-08-18,Y,Davidson,2024,72,70-74,1972,52
OR07,113468.17,7242,Admin Svcs Mgr,Water Services,Fulltime,Officials and administrators,M,Black,1950,1973-02-26,Y,Davidson,2024,74,70-74,1973,51
OR09,121002.72,10863,Admin Svcs Division Manager,Metropolitan Council,Fulltime,Officials and administrators,F,White,1956,1974-09-01,Y,Davidson,2024,68,65-69,1974,50
FD03,76225.4,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,White,1954,1974-11-01,N,Wilson,2024,70,70-74,1974,50
NS,83001.18,6505,Deputy Criminal Ct Clerk 4,Criminal Court Clerk,Fulltime,Administrative support,F,White,1950,1975-12-05,N,Davidson,2024,74,70-74,1975,49
ST08,52433.92,11183,Library Associate,Public Library,Fulltime,Paraprofessionals,F,White,1952,1977-02-14,N,Davidson,2024,72,70-74,1977,47
OR05,87656.13,5495,Probation Officer 3,General Sessions Court,Fulltime,Professionals,F,Black,1953,1977-03-01,Y,Davidson,2024,71,70-74,1977,47
PS04A,95097.46,7794,Police Officer 3,Police,Fulltime,Protective service workers,M,Black,1955,1977-08-01,N,Montgomery,2024,69,65-69,1977,47
OR07,97654.57,7242,Admin Svcs Mgr,Juvenile Court,Fulltime,Officials and administrators,F,Black,1959,1977-10-16,Y,Davidson,2024,65,65-69,1977,47
TG09,47459.75,10849,Maintenance & Repair Worker Se,Parks,Fulltime,Service/Maintenance,M,White,1954,1978-03-24,N,Davidson,2024,70,70-74,1978,46
OR05,81582.85,7245,Admin Svcs Officer 4,Assessor of Property,Fulltime,Professionals,M,Black,1955,1978-06-01,N,Davidson,2024,69,65-69,1978,46
ST10,72445.0,10836,Engineer Technician Senior,Water Services,Fulltime,Technicians,M,White,1957,1978-10-01,N,Davidson,2024,67,65-69,1978,46
OR07,113468.17,11272,Transportation Superintendent,NDOT,Fulltime,Officials and administrators,M,White,1960,1978-10-16,Y,Davidson,2024,64,60-64,1978,46
NS,94326.06,6504,Deputy Criminal Ct Clerk 3,Criminal Court Clerk,Fulltime,Administrative support,F,White,1958,1979-02-12,Y,Rutherford,2024,66,65-69,1979,45
NS,65168.45,6505,Deputy Criminal Ct Clerk 4,Criminal Court Clerk,Fulltime,Administrative support,M,White,1959,1979-09-04,N,Davidson,2024,65,65-69,1979,45
ST08,52433.92,11183,Library Associate,Public Library,Fulltime,Paraprofessionals,M,White,1956,1979-09-17,N,Williamson,2024,68,65-69,1979,45
FD11,142808.86,10712,Fire Commander,Fire,Fulltime,Officials and administrators,M,White,1955,1979-10-16,Y,Davidson,2024,69,65-69,1979,45
ST10,72445.0,10836,Engineer Technician Senior,Water Services,Fulltime,Technicians,F,White,1959,1979-11-16,N,Robertson,2024,65,65-69,1979,45
TS16,89437.11,7786,Indust Maint Supv 2,Water Services,Fulltime,Technicians,M,White,1961,1980-03-17,Y,Wilson,2024,63,60-64,1980,44
OR07,100731.01,7242,Admin Svcs Mgr,Codes Administration,Fulltime,Officials and administrators,M,White,1957,1981-01-19,Y,Sumner,2024,67,65-69,1981,43
TS10,69057.91,7327,Maint & Repair Supv,NDOT,Fulltime,Service/Maintenance,M,White,1963,1981-07-20,N,Davidson,2024,61,60-64,1981,43
OR09,118677.52,11146,Chief Deputy Clerk-Motor Vehicle,County Clerk,Fulltime,Officials and administrators,F,White,1963,1981-08-17,Y,Marshall,2024,61,60-64,1981,43
MAC11A,105784.64,10789,Early Childhood Ctr Mgr-MAC,Metro Action Commission,Fulltime,Professionals,M,Black,1961,1981-08-24,Y,Davidson,2024,63,60-64,1981,43
OR11,134005.46,7159,Div Mgr-Sheriff,Sheriff,Fulltime,Officials and administrators,F,White,1959,1981-11-16,Y,Davidson,2024,65,65-69,1981,43
PS05B,113268.15,7366,Police Sergeant,Police,Fulltime,Technicians,M,White,1958,1981-11-16,N,Davidson,2024,66,65-69,1981,43
FD10,133532.45,11087,Fire Operations Chief,Fire,Fulltime,Service/Maintenance,M,White,1956,1981-12-16,Y,Davidson,2024,68,65-69,1981,43
ST10,72445.0,11031,Housing Assignment Spec-DCSO,Sheriff,Fulltime,Professionals,M,Black,1957,1982-02-01,N,Davidson,2024,67,65-69,1982,42
TG14,60282.37,1880,Equip Mechanic,Water Services,Fulltime,Skilled craft workers,M,Hispanic,1954,1982-04-16,N,Davidson,2024,70,70-74,1982,42
FD09B,130170.31,1686,Fire District Chief,Fire,Fulltime,Professionals,M,White,1959,1982-05-01,Y,Sumner,2024,65,65-69,1982,42
OR10,129133.05,6489,Public Hlth Nurse Practitioner,Health,Fulltime,Professionals,F,White,1950,1982-09-08,Y,Davidson,2024,74,70-74,1982,42
OR03,72445.0,7244,Admin Svcs Officer 3,Circuit Court Clerk,Fulltime,Professionals,M,Black,1958,1982-09-13,N,Davidson,2024,66,65-69,1982,42
ST10,63158.39,10955,Utility Compliance Inp 2,Water Services,Fulltime,Technicians,M,White,1964,1982-09-13,N,Sumner,2024,60,60-64,1982,42
FD03,76225.4,11172,Advanced Emergency Med Tech,Fire,Fulltime,Technicians,M,White,1963,1982-10-25,N,Robertson,2024,61,60-64,1982,42
OR05,82167.56,7245,Admin Svcs Officer 4,General Services,Fulltime,Professionals,F,White,1960,1982-11-01,Y,Davidson,2024,64,60-64,1982,42
OR05,85553.57,7245,Admin Svcs Officer 4,Police,Fulltime,Professionals,F,White,1963,1982-11-16,N,Wilson,2024,61,60-64,1982,42
OR06,78069.76,7757,Technical Specialist 2,Juvenile Court Clerk,Fulltime,Professionals,F,Black,1959,1983-01-01,Y,Davidson,2024,65,65-69,1983,41
TG08,46378.28,7255,Bldg Maint Leader,Water Services,Fulltime,Skilled craft workers,M,White,1964,1983-04-18,N,Davidson,2024,60,60-64,1983,41
TS10,69057.91,7327,Maint & Repair Supv,NDOT,Fulltime,Service/Maintenance,M,White,1964,1983-05-02,N,Rutherford,2024,60,60-64,1983,41
OR08,100488.11,10108,Finance Admin,Police,Fulltime,Officials and administrators,F,White,1949,1983-08-17,Y,Davidson,2024,75,75-79,1983,41
ST08,57060.32,7745,Museum Gift Shop Mgr,Parks,Fulltime,Administrative support,M,Black,1962,1983-10-21,N,Davidson,2024,62,60-64,1983,41
TS16,89437.11,11208,Water Services Superintendent,Water Services,Fulltime,Professionals,M,White,1962,1984-01-23,Y,Cheatham,2024,62,60-64,1984,40
ST07,49496.02,6466,Courier,Health,Fulltime,Administrative support,M,Black,1953,1984-05-23,N,Davidson,2024,71,70-74,1984,40
OR07,84560.78,7242,Admin Svcs Mgr,General Services,Fulltime,Officials and administrators,M,White,1963,1984-06-01,Y,Cheatham,2024,61,60-64,1984,40
ST05,46377.22,11034,Circulation Assistant,Public Library,Fulltime,Paraprofessionals,F,Black,1961,1984-06-25,N,Davidson,2024,63,60-64,1984,40
SS01,42706.77,3447,School Crossing Guard Supv,Police,Parttime,Protective service workers,F,White,1955,1984-08-24,N,Davidson,2024,69,65-69,1984,40
TS16,86832.15,7786,Indust Maint Supv 2,Water Services,Fulltime,Technicians,M,White,1965,1984-09-16,Y,Davidson,2024,59,55-59,1984,40
OR06,87847.88,10964,Utility Envir Comp Officer 3,Water Services,Fulltime,Professionals,M,White,1961,1984-09-24,N,Davidson,2024,63,60-64,1984,40
NS,106154.42,6303,Supervisor Clerk & Maste,Clerk and Master,Fulltime,Administrative support,F,White,1965,1984-10-02,Y,Sumner,2024,59,55-59,1984,40
OR08,122715.83,10108,Finance Admin,General Services,Fulltime,Officials and administrators,M,White,1963,1984-12-01,Y,Wilson,2024,61,60-64,1984,40
TS16,89437.11,7786,Indust Maint Supv 2,Water Services,Fulltime,Technicians,M,White,1965,1984-12-03,Y,Davidson,2024,59,55-59,1984,40
OR08,108513.28,7234,Information Systems Advisor 1,Police,Fulltime,Officials and administrators,M,White,1958,1984-12-16,Y,Davidson,2024,66,65-69,1984,40
OR05,87656.13,7245,Admin Svcs Officer 4,General Services,Fulltime,Professionals,F,White,1942,1985-02-17,Y,Davidson,2024,82,80-84,1985,39
TL11,60671.62,10847,Maintenance & Repair Leader,Parks,Fulltime,Service/Maintenance,M,Black,1966,1985-04-01,N,Davidson,2024,58,55-59,1985,39
OR05,78190.78,7245,Admin Svcs Officer 4,Fire,Fulltime,Professionals,F,White,1963,1985-04-01,Y,Davidson,2024,61,60-64,1985,39
ST11,79774.33,7040,Facility Coord,Parks,Fulltime,Professionals,M,White,1969,1985-04-01,Y,Sumner,2024,55,55-59,1985,39
OR06,84560.79,11181,Human Resources Analyst Senior,Parks,Fulltime,Professionals,F,White,1966,1985-04-26,Y,Cheatham,2024,58,55-59,1985,39
OR03,72445.0,7244,Admin Svcs Officer 3,Parks,Fulltime,Professionals,F,White,1966,1985-04-26,N,Cheatham,2024,58,55-59,1985,39
NS,103565.0,10816,Satellite position,Register of Deeds,Fulltime,Professionals,M,White,1960,1985-05-01,Y,Davidson,2024,64,60-64,1985,39
OR13,181539.18,7420,Water Svcs Asst Dir,Water Services,Fulltime,Officials and administrators,M,White,1962,1985-05-01,Y,Davidson,2024,62,60-64,1985,39
OR09,124814.99,11267,Public Information Manager,Police,Fulltime,Officials and administrators,F,White,1958,1985-05-01,Y,Sumner,2024,66,65-69,1985,39
OR03,66009.67,7244,Admin Svcs Officer 3,Police,Fulltime,Professionals,F,White,1959,1985-05-16,N,Robertson,2024,65,65-69,1985,39
OR05,87656.13,5495,Probation Officer 3,General Sessions Court,Fulltime,Professionals,F,White,1962,1985-05-16,Y,Davidson,2024,62,60-64,1985,39
OR12,152631.83,10867,Assistant Public Defender 4,Public Defender,Fulltime,Professionals,F,White,1960,1985-06-01,Y,Davidson,2024,64,60-64,1985,39
ST05,46377.22,11040,Office Support Rep,Juvenile Court Clerk,Fulltime,Administrative support,F,White,1961,1985-06-01,N,Wilson,2024,63,60-64,1985,39
OR13,151406.03,6553,Parks & Recreation Asst Dir,Parks,Fulltime,Officials and administrators,M,White,1960,1985-06-16,Y,Davidson,2024,64,60-64,1985,39
ST11,71593.99,6598,Cust Svc Supv,Water Services,Fulltime,Administrative support,F,Black,1961,1985-07-01,Y,Davidson,2024,63,60-64,1985,39
FD08B,118336.65,440,Fire Marshal-Dpty,Fire,Fulltime,Officials and administrators,F,Black,1957,1985-08-16,Y,Davidson,2024,67,65-69,1985,39
OR04,79774.33,7756,Technical Specialist 1,General Services,Fulltime,Professionals,M,White,1965,1985-09-03,Y,Davidson,2024,59,55-59,1985,39
